2026-04-05 02:21:55.785 +07:00 [INF] Seed dữ liệu ban đầu thành công
2026-04-05 02:21:56.093 +07:00 [INF] Ứng dụng Tour Du Lịch khởi chạy
2026-04-05 02:22:38.730 +07:00 [WRN] Failed to determine the https port for redirect.
2026-04-05 02:22:43.836 +07:00 [INF] HTTP GET /Tour/Details/76 responded 200 in 4360.2434 ms
2026-04-05 02:22:43.970 +07:00 [INF] HTTP GET /images/tours/tl1.jpg responded 404 in 59.6615 ms
2026-04-05 02:22:44.003 +07:00 [INF] HTTP GET /images/tours/tl4.jpg responded 404 in 65.4184 ms
2026-04-05 02:22:44.133 +07:00 [INF] HTTP GET /css/site.css responded 200 in 216.3464 ms
2026-04-05 02:22:44.143 +07:00 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.css responded 200 in 218.3633 ms
2026-04-05 02:22:44.236 +07:00 [INF] HTTP GET /images/tours/tl5.jpg responded 404 in 15.8216 ms
2026-04-05 02:22:44.236 +07:00 [INF] HTTP GET /images/tours/tl2.jpg responded 404 in 22.6430 ms
2026-04-05 02:22:44.236 +07:00 [INF] HTTP GET /images/tours/tl3.jpg responded 404 in 108.2120 ms
2026-04-05 02:22:44.258 +07:00 [INF] HTTP GET /lib/jquery/dist/jquery.min.js responded 200 in 68.0685 ms
2026-04-05 02:22:44.260 +07:00 [INF] HTTP GET /js/site.js responded 200 in 2.8798 ms
2026-04-05 02:22:44.261 +07:00 [INF] HTTP GET /lib/bootstrap/dist/js/bootstrap.bundle.min.js responded 200 in 4.3363 ms
2026-04-05 02:22:44.373 +07:00 [INF] HTTP GET /favicon.ico responded 200 in 2.2374 ms
2026-04-05 02:23:07.137 +07:00 [INF] Tìm kiếm tour với keyword: null, CategoryId: null
2026-04-05 02:23:07.346 +07:00 [INF] Tìm thấy 100 tour phù hợp
2026-04-05 02:23:07.511 +07:00 [INF] HTTP GET /Tour responded 200 in 544.4600 ms
2026-04-05 02:23:07.534 +07:00 [INF] HTTP GET /images/tours/tl1.jpg responded 404 in 2.8732 ms
2026-04-05 02:23:07.538 +07:00 [INF] HTTP GET /images/tours/tl3.jpg responded 404 in 5.1286 ms
2026-04-05 02:23:07.539 +07:00 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.css responded 200 in 12.2129 ms
2026-04-05 02:23:07.541 +07:00 [INF] HTTP GET /css/site.css responded 200 in 4.6191 ms
2026-04-05 02:23:07.543 +07:00 [INF] HTTP GET /images/tours/jp1.jpg responded 404 in 2.9816 ms
2026-04-05 02:23:07.544 +07:00 [INF] HTTP GET /images/tours/jp3.jpg responded 404 in 1.8555 ms
2026-04-05 02:23:07.579 +07:00 [INF] HTTP GET /js/site.js responded 200 in 7.9769 ms
2026-04-05 02:23:07.597 +07:00 [INF] HTTP GET /images/tours/kr1.jpg responded 404 in 3.1811 ms
2026-04-05 02:23:07.605 +07:00 [INF] HTTP GET /lib/jquery/dist/jquery.min.js responded 200 in 6.9935 ms
2026-04-05 02:23:07.620 +07:00 [INF] HTTP GET /images/tours/sg1.jpg responded 404 in 8.1262 ms
2026-04-05 02:23:07.640 +07:00 [INF] HTTP GET /images/tours/fr1.jpg responded 404 in 5.9137 ms
2026-04-05 02:23:07.677 +07:00 [INF] HTTP GET /images/tours/kr3.jpg responded 404 in 4.5025 ms
2026-04-05 02:23:08.250 +07:00 [INF] HTTP GET /images/tours/sg3.jpg responded 404 in 11.1833 ms
2026-04-05 02:23:08.334 +07:00 [INF] HTTP GET /lib/bootstrap/dist/js/bootstrap.bundle.min.js responded 200 in 17.4306 ms
2026-04-05 02:23:12.836 +07:00 [INF] HTTP GET / responded 200 in 296.5857 ms
2026-04-05 02:23:12.854 +07:00 [INF] HTTP GET /images/tours/tl3.jpg responded 404 in 1.0622 ms
2026-04-05 02:23:12.854 +07:00 [INF] HTTP GET /images/tours/tl1.jpg responded 404 in 1.0874 ms
2026-04-05 02:23:12.856 +07:00 [INF] HTTP GET /css/site.css responded 200 in 2.7885 ms
2026-04-05 02:23:12.859 +07:00 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.css responded 200 in 6.6372 ms
2026-04-05 02:23:12.863 +07:00 [INF] HTTP GET /images/tours/jp3.jpg responded 404 in 1.1912 ms
2026-04-05 02:23:12.863 +07:00 [INF] HTTP GET /images/tours/jp1.jpg responded 404 in 1.1893 ms
2026-04-05 02:23:12.876 +07:00 [INF] HTTP GET /lib/jquery/dist/jquery.min.js responded 200 in 7.2775 ms
2026-04-05 02:23:12.883 +07:00 [INF] HTTP GET /js/site.js responded 200 in 2.8718 ms
2026-04-05 02:23:12.886 +07:00 [INF] HTTP GET /images/tours/kr1.jpg responded 404 in 1.7291 ms
2026-04-05 02:23:12.902 +07:00 [INF] HTTP GET /lib/bootstrap/dist/js/bootstrap.bundle.min.js responded 200 in 12.2361 ms
2026-04-05 02:23:12.919 +07:00 [INF] HTTP GET /images/tours/kr3.jpg responded 404 in 1.5834 ms
2026-04-05 02:23:12.928 +07:00 [INF] HTTP GET /images/hinh-nen-viet-nam-4k25.jpg responded 304 in 2.6865 ms
2026-04-05 02:23:19.363 +07:00 [INF] HTTP GET /Admin responded 200 in 962.2433 ms
2026-04-05 02:23:19.403 +07:00 [INF] HTTP GET /images/tours/tl1.jpg responded 404 in 1.0162 ms
2026-04-05 02:23:19.407 +07:00 [INF] HTTP GET /css/site.css responded 200 in 7.0072 ms
2026-04-05 02:23:19.574 +07:00 [INF] HTTP GET /js/site.js responded 200 in 118.9313 ms
2026-04-05 02:23:19.593 +07:00 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.css responded 200 in 193.9641 ms
2026-04-05 02:23:19.578 +07:00 [INF] HTTP GET /lib/bootstrap/dist/js/bootstrap.bundle.min.js responded 200 in 164.2019 ms
2026-04-05 02:23:19.598 +07:00 [INF] HTTP GET /lib/jquery/dist/jquery.min.js responded 200 in 192.6000 ms
2026-04-05 02:23:21.397 +07:00 [INF] HTTP GET /Admin/Category responded 200 in 122.0765 ms
2026-04-05 02:23:21.419 +07:00 [INF] HTTP GET /css/site.css responded 200 in 4.9577 ms
2026-04-05 02:23:21.422 +07:00 [INF] HTTP GET /lib/jquery/dist/jquery.min.js responded 200 in 7.6229 ms
2026-04-05 02:23:21.429 +07:00 [INF] HTTP GET /lib/bootstrap/dist/js/bootstrap.bundle.min.js responded 200 in 12.4859 ms
2026-04-05 02:23:21.428 +07:00 [INF] HTTP GET /js/site.js responded 200 in 11.1673 ms
2026-04-05 02:23:21.430 +07:00 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.css responded 200 in 14.6752 ms
2026-04-05 02:23:22.675 +07:00 [INF] HTTP GET /images/tours/tl1.jpg responded 404 in 0.6852 ms
2026-04-05 02:23:22.675 +07:00 [INF] HTTP GET /images/tours/tl2.jpg responded 404 in 0.6756 ms
2026-04-05 02:23:22.678 +07:00 [INF] HTTP GET /css/site.css responded 200 in 3.4817 ms
2026-04-05 02:23:22.680 +07:00 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.css responded 200 in 6.1057 ms
2026-04-05 02:23:22.691 +07:00 [INF] HTTP GET /images/tours/tl5.jpg responded 404 in 1.0321 ms
2026-04-05 02:23:22.696 +07:00 [INF] HTTP GET /Admin/Tour responded 200 in 453.6289 ms
2026-04-05 02:23:22.740 +07:00 [INF] HTTP GET /images/tours/jp1.jpg responded 404 in 1.2325 ms
2026-04-05 02:23:22.779 +07:00 [INF] HTTP GET /images/tours/jp2.jpg responded 404 in 0.9707 ms
2026-04-05 02:23:22.799 +07:00 [INF] HTTP GET /images/tours/tl3.jpg responded 404 in 0.8968 ms
2026-04-05 02:23:22.814 +07:00 [INF] HTTP GET /images/tours/tl4.jpg responded 404 in 4.3922 ms
2026-04-05 02:23:23.033 +07:00 [INF] HTTP GET /lib/jquery/dist/jquery.min.js responded 200 in 27.7115 ms
2026-04-05 02:23:23.301 +07:00 [INF] HTTP GET /lib/bootstrap/dist/js/bootstrap.bundle.min.js responded 200 in 8.2170 ms
2026-04-05 02:23:23.316 +07:00 [INF] HTTP GET /js/site.js responded 200 in 6.8204 ms
2026-04-05 02:23:23.335 +07:00 [INF] HTTP GET /images/tours/kr1.jpg responded 404 in 1.0460 ms
2026-04-05 02:23:23.342 +07:00 [INF] HTTP GET /images/tours/kr2.jpg responded 404 in 1.1509 ms
2026-04-05 02:23:23.354 +07:00 [INF] HTTP GET /images/tours/kr3.jpg responded 404 in 1.2184 ms
2026-04-05 02:23:23.418 +07:00 [INF] HTTP GET /images/tours/jp3.jpg responded 404 in 5.2576 ms
2026-04-05 02:23:23.454 +07:00 [INF] HTTP GET /images/tours/jp4.jpg responded 404 in 1.3851 ms
2026-04-05 02:23:23.465 +07:00 [INF] HTTP GET /images/tours/jp5.jpg responded 404 in 2.3011 ms
2026-04-05 02:23:23.499 +07:00 [INF] HTTP GET /images/tours/kr4.jpg responded 404 in 1.7405 ms
2026-04-05 02:23:23.506 +07:00 [INF] HTTP GET /images/tours/kr5.jpg responded 404 in 0.8764 ms
2026-04-05 02:23:23.509 +07:00 [INF] HTTP GET /images/tours/sg1.jpg responded 404 in 0.8727 ms
2026-04-05 02:23:23.528 +07:00 [INF] HTTP GET /images/tours/sg2.jpg responded 404 in 1.2331 ms
2026-04-05 02:23:23.541 +07:00 [INF] HTTP GET /images/tours/sg4.jpg responded 404 in 0.9394 ms
